Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
29,Exit long,2025-06-23 20:18,L TP1,3376.761,14.58,49204.26324,27.83,0.06,28.73,0.06,-1.32,0.00,-831.09,-8.31
29,Entry long,2025-06-23 20:15,L,3374.778,14.58,49204.26324,27.83,0.06,28.73,0.06,-1.32,0.00,-831.09,-8.31
30,Exit long,2025-06-23 20:21,L TP2,3379.269,58.33,196850.8007,260.34,0.13,261.24,0.13,-5.27,0.00,-570.03,-5.70
30,Entry long,2025-06-23 20:15,L,3374.778,58.33,196850.8007,260.34,0.13,261.24,0.13,-5.27,0.00,-570.03,-5.70
31,Exit long,2025-06-23 20:24,L TP1,3377.669,12.2,41178.4526,28.03,0.07,28.93,0.07,-1.25,0.00,-542.72,-5.43
31,Entry long,2025-06-23 20:24,L,3375.283,12.2,41178.4526,28.03,0.07,28.93,0.07,-1.25,0.00,-542.72,-5.43
32,Exit long,2025-06-23 20:57,L TP2,3380.761,48.8,164713.8104,265.71,0.16,266.61,0.16,-5.01,0.00,-276.29,-2.76
32,Entry long,2025-06-23 20:24,L,3375.283,48.8,164713.8104,265.71,0.16,266.61,0.16,-5.01,0.00,-276.29,-2.76
33,Exit long,2025-06-23 21:00,L TP1,3377.565,12.11,40941.03993,-39.81,-0.10,4.87,0.01,-38.91,-0.10,-316.82,-3.17
33,Entry long,2025-06-23 21:00,L,3380.763,12.11,40941.03993,-39.81,-0.10,4.87,0.01,-38.91,-0.10,-316.82,-3.17
34,Exit long,2025-06-23 21:00,L TP2,3377.565,48.44,163764.1597,-156.53,-0.10,19.48,0.01,-155.63,-0.10,-472.63,-4.73
34,Entry long,2025-06-23 21:00,L,3380.763,48.44,163764.1597,-156.53,-0.10,19.48,0.01,-155.63,-0.10,-472.63,-4.73
35,Exit short,2025-06-24 05:15,S TP1,3373.421,14.84,50092.74648,30.1,0.06,31,0.06,-11.06,-0.02,-443.25,-4.43
35,Entry short,2025-06-24 05:06,S,3375.522,14.84,50092.74648,30.1,0.06,31,0.06,-11.06,-0.02,-443.25,-4.43
36,Exit short,2025-06-24 05:30,S TP2,3370.854,59.39,200472.2516,275.61,0.14,276.51,0.14,-44.25,-0.02,-166.92,-1.67
36,Entry short,2025-06-24 05:06,S,3375.522,59.39,200472.2516,275.61,0.14,276.51,0.14,-44.25,-0.02,-166.92,-1.67
37,Exit short,2025-06-24 05:39,S TP1,3369.181,16.39,55253.75493,31.8,0.06,32.7,0.06,-25.47,-0.05,-135.84,-1.36
37,Entry short,2025-06-24 05:33,S,3371.187,16.39,55253.75493,31.8,0.06,32.7,0.06,-25.47,-0.05,-135.84,-1.36
38,Exit short,2025-06-24 05:45,S TP2,3371.017,65.59,221116.1553,9.53,0.00,252.59,0.11,-101.93,-0.05,-125.59,-1.26
