entry_time,dir,et,entry,sl,tp,lot,rr,ticket,exit_time,exit_reason,pnl
2025.10.23 05:40:00,L,E1,4093.579,4083.863,4114.25465,0.15,2.13,20251023054000175,2025.10.23 06:00:30,TP Hit,308.78
2025.10.24 05:40:00,S,E1,4106.529,4114.51586,4089.53297,0.09,2.13,20251024054000362,2025.10.24 06:06:53,TP Hit,152.14
2025.10.27 08:26:00,S,E2,4057.376,4064.49179,4044.82375,0.15,1.76,20251027082600598,2025.10.27 08:53:14,TP Hit,188.05
2025.10.31 08:07:00,L,E2,4026.033,4019.03914,4038.37016,0.15,1.76,20251031080700368,2025.10.31 08:15:00,SL hit,-45.45
2025.11.05 13:24:00,L,E2,3974.421,3966.81729,3989.84589,0.15,2.03,20251105132400831,2025.11.05 13:36:00,SL hit,-33.61
2025.11.17 02:55:00,S,E1,4085.251,4090.25437,4075.13619,0.15,2.02,20251117025500886,2025.11.17 03:00:45,TP Hit,151.93
2025.11.18 01:45:00,S,E1,4032.895,4041.453,4015.59415,0.15,2.02,20251118014500047,2025.11.18 02:11:25,Early Exit/Session End?,25.26
2025.11.18 02:55:00,S,E1,4021.229,4030.90329,4003.76691,0.15,1.8,20251118025500095,2025.11.18 03:38:43,Early Exit/Session End?,19.27
2025.11.20 07:24:00,S,E1,4061.194,4070.89229,4040.55605,0.09,2.13,20251120072400505,2025.11.20 08:22:49,TP Hit,187.02
2025.11.21 02:53:00,S,E1,4064.65,4073.92,4045.90977,0.15,2.02,20251121025300710,2025.11.21 05:48:44,TP Hit,280.11
2025.11.26 01:00:00,L,E1,4142.847,4136.89757,4154.87436,0.15,2.02,20251126010000286,2025.11.26 02:18:29,TP Hit,178.07
2025.11.26 05:19:00,L,E2,4167.555,4163.82857,4173.42412,0.15,1.57,20251126051900368,2025.11.26 05:26:00,SL hit,-38.88
2025.12.01 08:15:00,L,E1,4250.956,4243.84943,4266.07878,0.15,2.13,20251201081500678,2025.12.01 08:36:48,SL hit,-109.2
2025.12.05 14:45:00,L,E1,4236.16,4228.3,4255.39499,0.15,2.45,20251205144500264,,OPEN/UNMATCHED,
2025.12.05 14:50:00,L,E2,4242.505,4235.18929,4255.75559,0.15,1.81,20251205145000281,,OPEN/UNMATCHED,
2025.12.16 05:25:00,S,E1,4285.015,4290.38957,4274.80331,0.15,1.9,20251216052500249,2025.12.16 05:30:15,TP Hit,153.67
2025.12.19 02:40:00,S,E1,4321.234,4326.135,4312.3877,0.15,1.81,20251219024000669,2025.12.19 03:03:25,Early Exit/Session End?,78.91
2025.12.22 13:32:00,L,E1,4421.627,4412.801,4444.95391,0.15,2.64,,,OPEN/UNMATCHED,
2025.12.26 03:15:00,L,E2,4511.967,4506.56207,4520.05412,0.15,1.5,20251226031500198,2025.12.26 03:26:00,SL hit,-53.86
2025.12.26 06:24:00,L,E1,4517.848,4511.32,4530.2512,0.15,1.9,20251226062400230,2025.12.26 06:51:34,SL hit,-100.08
2025.12.26 06:25:00,L,E2,4516.383,4511.19493,4525.53476,0.15,1.76,20251226062500230,2025.12.26 06:51:00,SL hit,-34.47
2025.12.26 08:17:00,L,E1,4515.406,4509.547,4526.5381,0.15,1.9,20251226081700262,2025.12.26 10:41:03,SL Hit,4.98
2025.12.29 06:31:00,S,E2,4490.355,4499.37793,4476.14389,0.15,1.57,20251229063100474,2025.12.29 06:52:54,TP Hit,213.52
2025.12.29 08:50:00,S,E2,4461.224,4470.66029,4444.57839,0.15,1.76,20251229085000542,2025.12.29 09:04:00,SL hit,-55.54
2025.12.29 13:40:00,S,E2,4449.289,4456.82429,4435.09478,0.15,1.88,20251229134000595,2025.12.29 13:42:28,TP Hit,213.36
2026.01.05 05:02:00,L,E1,4405.278,4402.08265,4411.34916,0.15,1.9,20260105050200215,2026.01.05 05:29:14,TP Hit,90.03
2026.01.07 06:34:00,S,E2,4449.897,4455.90793,4440.42979,0.15,1.58,20260107063400526,2026.01.07 06:39:28,Early Exit/Session End?,53.39
2026.01.12 06:55:00,L,E1,4578.925,4572.80986,4591.93802,0.09,2.13,20260112065500968,2026.01.12 07:28:19,SL Hit,3.11
2026.01.15 02:55:00,S,E1,4598.648,4608.35771,4581.12197,0.15,1.81,20260115025500432,2026.01.15 03:31:14,TP Hit,264.03
